,Nr. crt.,Nr. dosar,Listă opțiuni (media pe opțiune),Medie Bac,Nota D. Oblig.,Nota D. Profil,NLbRo Bac,Notă M Bac,Notă TG,Medie Adm Opt1,Medie Adm Admis,Facultate admis,Domeniu admis,Nr. ordine,Tip loc admis,Termen confirmare,Nr. opțiune,RP,MR,ER,PS,CES,SRI,STS,Observații,Mențiuni
133,134,AC-399,"AC-CTI-B (8.21), AC-CTI-T (8.21), AC-AIASI-B (8.21), AC-AIASI-T (8.21)",9.48,9.45,10.0,9.0,9.45,7.9,8.21,8.21,AC,CTI-B,134,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
134,135,AC-66,"AC-CTI-B (8.21), AC-AIASI-B (8.21), AC-CTI-T (8.21), AC-AIASI-T (8.21), ETTI-IETTI-B (abs), IEEIA-IE-B (abs)",9.48,9.4,9.55,9.5,9.4,7.9,8.21,8.21,AC,CTI-B,135,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
135,136,AC-234,"AC-CTI-B (8.20), AC-CTI-T (8.20), AC-AIASI-B (8.20), AC-AIASI-T (8.20)",9.43,9.35,9.95,9.0,9.35,7.9,8.2,8.2,AC,CTI-B,136,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
136,137,AC-291,"AC-CTI-B (8.18), AC-CTI-T (8.18), ETTI-IETTI-B (abs), ETTI-IETTIEN-B (abs), IEEIA-IE-B (abs), IEEIA-IEN-B (abs), IEEIA-IMGM-B (abs)",9.30,9.6,9.45,8.85,9.6,7.9,8.18,8.18,AC,CTI-B,137,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
137,138,AC-248,"AC-CTI-B (8.17), AC-CTI-T (8.17), AC-AIASI-B (8.17), AC-AIASI-T (8.17), ETTI-IETTI-B (abs), ETTI-IETTIEN-B (abs), ETTI-IETTI-T (abs), ETTI-IETTIEN-T (abs)",9.28,9.35,9.7,8.8,9.35,7.9,8.17,8.17,AC,CTI-B,138,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
138,139,AC-120,"AC-CTI-B (8.15), AC-AIASI-B (8.15), AC-CTI-T (8.15), AC-AIASI-T (8.15)",9.15,9.65,8.95,8.85,9.65,7.9,8.15,8.15,AC,CTI-B,139,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
139,140,AC-415,"AC-CTI-B (8.15), AC-AIASI-B (8.15), ETTI-IETTI-B (abs)",9.16,9.0,9.65,8.85,9.0,7.9,8.15,8.15,AC,CTI-B,140,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
140,141,AC-261,"AC-CTI-B (8.11), AC-AIASI-B (8.11), ETTI-IETTI-B (abs)",8.98,9.55,8.05,9.35,9.55,7.9,8.11,8.11,AC,CTI-B,141,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
141,142,AC-5,"AC-CTI-B (8.10), AC-AIASI-B (8.10), ETTI-IETTI-B (abs), IEEIA-IE-B (abs)",8.93,9.8,8.55,8.45,9.8,7.9,8.1,8.1,AC,CTI-B,142,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
142,143,AC-177,"AC-CTI-B (8.09), AC-CTI-T (8.09), AC-AIASI-B (8.09), AC-AIASI-T (8.09)",8.85,9.4,9.5,7.65,9.4,7.9,8.09,8.09,AC,CTI-B,143,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
