,Nr. crt.,Nr. dosar,Listă opțiuni (media pe opțiune),Medie Bac,Nota D. Oblig.,Nota D. Profil,NLbRo Bac,Notă M Bac,Notă TG,Medie Adm Opt1,Medie Adm Admis,Facultate admis,Domeniu admis,Nr. ordine,Tip loc admis,Termen confirmare,Nr. opțiune,RP,MR,ER,PS,CES,SRI,STS,Observații,Mențiuni
82,83,AC-279,"AC-CTI-B (8.67), AC-AIASI-B (8.67), AC-CTI-T (8.67), AC-AIASI-T (8.67), ETTI-IETTI-B (abs), IEEIA-IE-B (abs), IEEIA-IEN-B (abs), CI-ICIV-B (abs), CI-IMC-B (abs), CI-II-B (abs), IEEIA-IMGM-B (abs), IEEIA-IEN-T (abs), MEC-MR-B (abs), MEC-IA-B (abs), MEC-IMEC-B (abs)",9.36,9.85,9.35,8.9,9.85,8.5,8.67,8.67,AC,CTI-B,83,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
83,84,AC-341,"AC-CTI-B (8.66), AC-AIASI-B (8.66), AC-CTI-T (8.66), AC-AIASI-T (8.66), ETTI-IETTI-B (abs), ETTI-IETTIEN-B (abs), IEEIA-IEN-B (abs), IEEIA-IE-B (abs), ETTI-IETTI-T (abs), ETTI-IETTIEN-T (abs), IEEIA-IE-T (abs)",9.33,9.95,9.9,8.15,9.95,8.5,8.66,8.66,AC,CTI-B,84,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
84,85,AC-299,"AC-CTI-B (8.65), AC-CTI-T (8.65), AC-AIASI-B (8.65), AC-AIASI-T (8.65), ETTI-IETTIEN-B (abs), ETTI-IETTI-B (abs), ETTI-IETTIEN-T (abs), ETTI-IETTI-T (abs), IEEIA-IE-B (abs), IEEIA-IEN-B (abs), IEEIA-IMGM-B (abs), IEEIA-IE-T (abs), IEEIA-IEN-T (abs), IEEIA-IMGM-T (abs)",9.26,9.45,9.35,9.0,9.45,8.5,8.65,8.65,AC,CTI-B,85,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
85,86,AC-90,"AC-CTI-B (8.64), AC-CTI-T (8.64), AC-AIASI-B (8.64), AC-AIASI-T (8.64), ETTI-IETTI-B (abs), ETTI-IETTI-T (abs), IEEIA-IEN-B (abs), IEEIA-IEN-T (abs), IEEIA-IE-B (abs), IEEIA-IE-T (abs), IEEIA-IMGM-B (abs), IEEIA-IMGM-T (abs), MEC-MR-B (abs), MEC-MR-T (abs)",9.20,10.0,9.2,8.4,10.0,8.5,8.64,8.64,AC,CTI-B,86,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
86,87,AC-321,"AC-CTI-B (8.63), AC-AIASI-B (8.63), ETTI-IETTI-B (abs)",9.15,9.85,9.25,8.35,9.85,8.5,8.63,8.63,AC,CTI-B,87,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
87,88,AC-196,"AC-CTI-B (8.63), AC-CTI-T (8.63), AC-AIASI-B (8.63), AC-AIASI-T (8.63)",9.16,9.75,9.2,8.55,9.75,8.5,8.63,8.63,AC,CTI-B,88,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
88,89,AC-188,"AC-CTI-B (8.61), AC-CTI-T (8.61), AC-AIASI-B (8.61), AC-AIASI-T (8.61), ETTI-IETTI-B (abs), ETTI-IETTI-T (abs), ETTI-IETTIEN-B (abs), ETTI-IETTIEN-T (abs), ICPM-IC-B (abs), ICPM-IC-T (abs), ICPM-IMED-B (abs), ICPM-IMED-T (abs)",9.06,10.0,10.0,7.2,10.0,8.5,8.61,8.61,AC,CTI-B,89,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
89,90,AC-135,"AC-CTI-B (8.61), AC-CTI-T (8.61), AC-AIASI-B (8.61), AC-AIASI-T (8.61)",9.05,9.25,8.6,9.3,9.25,8.5,8.61,8.61,AC,CTI-B,90,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
90,91,AC-212,"AC-CTI-B (8.61), AC-CTI-T (8.61), AC-AIASI-B (8.61), AC-AIASI-T (8.61)",9.06,9.05,9.6,8.55,9.05,8.5,8.61,8.61,AC,CTI-B,91,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
91,92,AC-421,"AC-CTI-B (8.59), AC-CTI-T (8.59), AC-AIASI-B (8.59), AC-AIASI-T (8.59), ETTI-IETTIEN-B (abs), ETTI-IETTIEN-T (abs), ETTI-IETTI-B (abs), ETTI-IETTI-T (abs), IEEIA-IEN-B (abs), IEEIA-IEN-T (abs), IEEIA-IE-B (abs), IEEIA-IE-T (abs), IEEIA-IMGM-B (abs), IEEIA-IMGM-T (abs)",8.98,9.6,8.5,8.85,9.6,8.5,8.59,8.59,AC,CTI-B,92,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
92,93,AC-253,"AC-CTI-B (8.53), AC-CTI-T (8.53), AC-AIASI-B (8.53)",8.66,8.65,9.6,7.75,8.65,8.5,8.53,8.53,AC,CTI-B,93,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
93,94,AC-36,"AC-CTI-B (8.51), AC-CTI-T (8.51), AC-AIASI-B (8.51), AC-AIASI-T (8.51), ETTI-IETTI-B (abs)",9.75,10.0,9.6,9.65,10.0,8.2,8.51,8.51,AC,CTI-B,94,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
94,95,AC-171,"AC-CTI-B (8.51), AC-CTI-T (8.51), AC-AIASI-B (8.51), AC-AIASI-T (8.51)",9.76,9.45,9.85,10.0,0.0,8.2,8.51,8.51,AC,CTI-B,95,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
95,96,AC-13,"AC-CTI-B (8.50), AC-AIASI-B (8.50), AC-CTI-T (8.50), AC-AIASI-T (8.50), IEEIA-IE-B (abs), ETTI-IETTI-B (abs), IEEIA-IE-T (abs), ETTI-IETTIEN-T (abs)",9.70,10.0,9.8,9.3,10.0,8.2,8.5,8.5,AC,CTI-B,96,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
96,97,AC-85,"AC-CTI-B (8.50), AC-AIASI-B (8.50), AC-CTI-T (8.50), AC-AIASI-T (8.50)",9.70,9.85,9.4,9.85,9.85,8.2,8.5,8.5,AC,CTI-B,97,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
97,98,AC-202,"AC-CTI-B (8.49), AC-CTI-T (8.49)",9.66,10.0,10.0,9.0,10.0,8.2,8.49,8.49,AC,CTI-B,98,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
98,99,AC-71,"AC-CTI-B (8.49), AC-AIASI-B (8.49), AC-CTI-T (8.49), AC-AIASI-T (8.49), CI-ICIV-B (abs), CI-II-B (abs), CI-IMC-B (abs)",9.68,9.75,9.9,9.4,9.75,8.2,8.49,8.49,AC,CTI-B,99,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
99,100,AC-23,"AC-CTI-B (8.47), AC-AIASI-B (8.47), MEC-MR-B (abs)",9.58,10.0,10.0,8.75,10.0,8.2,8.47,8.47,AC,CTI-B,100,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
100,101,AC-63,"AC-CTI-B (8.47), AC-CTI-T (8.47), AC-AIASI-B (8.47), ETTI-IETTI-B (abs)",9.58,9.9,9.9,8.95,9.9,8.2,8.47,8.47,AC,CTI-B,101,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
101,102,AC-427,AC-CTI-B (8.46),9.53,9.75,9.0,9.85,9.75,8.2,8.46,8.46,AC,CTI-B,102,roman,2026-07-23 14:00:00,1,,,,,,,,,matematica
102,103,AC-75,"AC-CTI-B (8.46), AC-CTI-T (8.46), AC-AIASI-B (8.46)",9.53,9.75,9.95,8.9,9.75,8.2,8.46,8.46,AC,CTI-B,103,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
103,104,AC-476,"AC-CTI-B (8.45), AC-CTI-T (8.45)",9.48,9.2,9.65,9.6,9.2,8.2,8.45,8.45,AC,CTI-B,104,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
104,105,AC-394,"AC-CTI-B (8.44), AC-CTI-T (8.44), AC-AIASI-B (8.44), AC-AIASI-T (8.44), ETTI-IETTI-B (abs), ETTI-IETTI-T (abs), IEEIA-IE-B (abs), IEEIA-IE-T (abs), IEEIA-IEN-B (abs), IEEIA-IEN-T (abs), IEEIA-IMGM-B (abs), IEEIA-IMGM-T (abs)",9.40,9.9,9.9,8.4,9.9,8.2,8.44,8.44,AC,CTI-B,105,roman,2026-07-23 14:00:00,1,,,,,,,,,informatica
